variant,canonical_locality,ward_name,ward_no,zone
वेस्ट विनोद नगर रोड,वेस्ट विनोद नगर,विनोद नगर,198,ईस्ट ज़ोन
meera bagh road,meera bagh,paschim vihar,59,keshav puram zone
mandakini,mandakini,chitaranjan park,171,south zone
jahangir puri blk b,jahangirpuri block b,jahangir puri,18,civil lines zone
ईस्ट पटेल नगर एरिया,ईस्ट पटेल नगर,ईस्ट पटेल नगर,86,करोल बाग ज़ोन
मुबारिकपुर डबास मुख्य गांव,मुबारिकपुर डबास गाँव,मुबारिकपुर,39,रोहिणी ज़ोन
mayapuri area,mayapuri,hari nagar,99,west zone
abul fazal enclave delhi,abul fazal enclave,abul fazal enclave,188,central zone
संगम पार्क,संगम पार्क,संगम पार्क,67,केशव पुरम ज़ोन
govind puri ext,govindpuri extension,govind puri,176,south zone
झिलमिल इंडस्ट्रियल एरिया,झिलमिल औद्योगिक क्षेत्र,झिलमिल,216,शाहदरा साउथ ज़ोन
मटिया महल मार्केट,मटिया महल,जामा मस्जिद,75,सिटी एसपी ज़ोन
sltanpuri block c,sultanpuri block c,sultanpuri-a,43,rohini zone
वेस्ट विनोद नगर ब्लॉक,वेस्ट विनोद नगर,विनोद नगर,198,ईस्ट ज़ोन
bakarwala delhi,bakkarwala,baprola,111,najafgarh zone
palam colony delhi,palam colony,raj nagar,134,najafgarh zone
jaitpur ext phase-2,jaitpur extension phase 2,jaitpur,184,south zone
tilak nagar delhi,tilak nagar market,tilak nagar,101,west zone
kadipur village,kadipur village,sarup nagar,19,civil lines zone
vikas nagar hastsal,vikas nagar,hastsal,108,west zone
nand nagri a to e,nand nagri block a to e,nand nagri,220,shahdara north zone
दल्लूपुरा गाँव,दल्लूपुरा,घड़ोली,194,ईस्ट ज़ोन
पंखा रोड डाबड़ी साइड,पंखा रोड,जनकपुरी साउथ,104,वेस्ट ज़ोन
अमर कॉलोनी वाली गली,अमर कॉलोनी,अमर कॉलोनी,146,सेंट्रल ज़ोन
jwaharnagar,jawahar nagar,malka ganj,12,civil lines zone
कर्दमपुरी रोड,कर्दमपुरी,कर्दमपुरी,236,शाहदरा नॉर्थ ज़ोन
vijay park road,vijay park,maujpur (gen.),228,shahdara north zone
rohini s9,rohini sector 9,rohini-c,51,rohini zone
zakhira,zakhira,karam pura,89,karol bagh zone
रघु नगर सागरपुर,रघु नगर,सागरपुर,118,नजफगढ़ ज़ोन
शकरपुर गांव,शकरपुर,शकरपुर,202,ईस्ट ज़ोन
ghalib ki haveli area,ghalib ki haveli,ballimaran,79,city sp zone
v3s mall side,v3s mall area,laxmi nagar,203,east zone
सीआरपीएफ कॉलोनी,सीआरपीएफ कैंप झड़ौदा,सैनिक एन्clave,112,नजफगढ़ ज़ोन
zakhira flyover side,zakhira,karam pura,89,karol bagh zone
west patel nagar delhi,west patel nagar,west patel nagar,85,karol bagh zone
बी डी एस्टेट,बीडी एस्टेट,तिमारपुर,11,सिविल लाइंस ज़ोन
central bazar lajpat nagar,central market,lajpat nagar,144,central zone
v kunj sector c,vasant kunj sector c,vasant kunj,156,south zone
karawal ngr,karawal nagar main,karawal nagar,248,shahdara north zone
shahdaramandi,shahdara mandi,shahdara,215,shahdara south zone
एयरोसिटी क्षेत्र,एयरोसिटी,महिपालपुर,133,नजफगढ़ ज़ोन
wazirpur jj cluster,wazirpur jj colony,wazir pur,66,keshav puram zone
बाटला हाउस जामिया नगर,बाटला हाउस,जाकिर नगर,189,सेंट्रल ज़ोन
loni border,loni border area,gokalpuri,239,shahdara north zone
sarswati vihar,saraswati vihar,saraswati vihar,58,keshav puram zone
sudershan park,sudarshan park,moti nagar,90,karol bagh zone
maya enclave,maya enclave,rajouri garden,96,west zone
kanwar singh nagar,kunwar singh nagar,kunwar singh,110,najafgarh zone
sec20,sector 20,aman vihar,41,rohini zone
trilokpuri 23 block,trilokpuri block 23,trilokpuri,192,east zone
naraina indus area,naraina industrial area,naraina,139,karol bagh zone
sunder nagri delhi,sunder nagri,sunder nagri,218,shahdara north zone
sanjay lake delhi,sanjay lake area,mayur vihar phase-ii,196,east zone
भलस्वा डेयरी बस्ती,भलस्वा डेयरी,भलस्वा,17,सिविल लाइंस ज़ोन
करावल नगर मुख्य,करावल नगर मेन,करावल नगर,248,शाहदरा नॉर्थ ज़ोन
malka ganj chowk,malka ganj,malka ganj,12,civil lines zone
चौहान पट्टी रोड,चौहान पट्टी,सोनिया विहार,249,शाहदरा नॉर्थ ज़ोन
trilokpuri blk9,trilokpuri block 9,trilokpuri,192,east zone
न्यू राजिंदर नगर एरिया,न्यू राजिंदर नगर,राजिंदर नगर,141,करोल बाग ज़ोन
बक्करवाला गांव,बक्करवाला,बापरोला,111,नजफगढ़ ज़ोन
trilok puri block 32,trilokpuri block 32,trilokpuri,192,east zone
rajiv nagar begumpur,rajiv nagar,begumpur,27,narela zone
bangaly colony,bengali colony,sant nagar,9,civil lines zone
keshavpuram delhi,keshav puram,keshav puram,64,keshav puram zone
रिठाला मेट्रो के पास वाला गांव,रिठाला गाँव,रिठाला,23,रोहिणी ज़ोन
sainik enclave phase 2,sainik enclave,sainik enclave,112,najafgarh zone
rohini sector 8b block,rohini sector 8 block b,rohini-a,21,rohini zone
मानव चौक एरिया,मानव चौक,रोहिणी-बी,22,रोहिणी ज़ोन
अर्जन गढ़ रोड,अर्जन गढ़,आया नगर,157,साउथ ज़ोन
rajiv nager,rajiv nagar,bhalswa,17,civil lines zone
खजूरी खास एक्सटेंशन दिल्ली,खजूरी खास एक्सटेंशन,सादतपुर,247,शाहदरा नॉर्थ ज़ोन
पुल प्रहलादपुर,पुल प्रह्लादपुर,पुल प्रह्लादपुर,179,साउथ ज़ोन
rajiv nagar,rajiv nagar,bhalswa,17,civil lines zone
vstant vihar,vasant vihar,vasant vihar,153,south zone
rohini sect 24,rohini sector 24,rithala,23,rohini zone
रघुबीर नगर,रघुबीर नगर,रघुबीर नगर,94,वेस्ट ज़ोन
छतरपुर गांव,छतरपुर गाँव,छतरपुर,159,साउथ ज़ोन
kohat enclave colony,kohat enclave,kohat enclave,61,keshav puram zone
मदनगीर बस्ती,मदनगीर गाँव,मदनगीर,165,साउथ ज़ोन
जामा मस्जिद गेट 1,जामा मस्जिद,जामा मस्जिद,75,सिटी एसपी ज़ोन
chandbagh,chand bagh,mustafabad,243,shahdara north zone
आनंद विहार एरिया,आनंद विहार,आनंद विहार,206,शाहदरा साउथ ज़ोन
new kondli mayur vihar ph 3 side,new kondli,kondli,193,east zone
संतनगर मेन मार्केट,संत नगर मेन मार्केट,संत नगर,9,सिविल लाइंस ज़ोन
तिगड़ी दिल्ली,तिगड़ी कॉलोनी,तिगड़ी,162,साउथ ज़ोन
netaji subhash place metro,netaji subhash place,kohat enclave,61,keshav puram zone
मीरा बाग रोड,मीरा बाग,पश्चिम विहार,59,केशव पुरम ज़ोन
मंगोलपुरी कलां ग्राम,मंगोलपुरी कलां,मंगोलपुरी-ए,49,रोहिणी ज़ोन
सेक्टर ए4 नरेला,नरेला सेक्टर ए-4,बांकनेर,2,नरेला ज़ोन
burari block b,burari block b,burari,6,civil lines zone
idgah road delhi,idgah road,quraish nagar,81,city sp zone
सिद्धार्थ एक्सटेंशन रोड,सिद्धार्थ एक्सटेंशन,सिद्धार्थ नगर,143,सेंट्रल ज़ोन
द्वारका सेक्टर-8,द्वारका सेक्टर 8,द्वारका - ए,121,नजफगढ़ ज़ोन
sadatpoor,sadatpur gujran,sadatpur,247,shahdara north zone
रवि नगर दिल्ली,रवि नगर,विष्णु गार्डन,95,वेस्ट ज़ोन
ashok vihar ph-1,ashok vihar phase 1,ashok vihar,65,keshav puram zone
dwarka sector12,dwarka sector 12,dwarka - b,120,najafgarh zone
